Name,ID,Zip,County,Address,Latitude,Longitude
Mix 50MASS01,ec3pz5e0,30324,Fulton,"Armour Drive Northeast, Atlanta, GA 30324",33.81058,-84.38147
Mix 50CNC129,ec38gcqd,30324,Fulton,"Armour Drive Northeast, Atlanta, GA 30324",33.81058,-84.38147
Mix 45CAC130,ec346xya,30324,Fulton,"Armour Drive Northeast, Atlanta, GA 30324",33.81058,-84.38147
Mix 35SAC0450,ec3qg7cg,30316,Fulton,"885 Glenwood Avenue Southeast, Atlanta, GA 30316",33.73867,-84.35887
Mix 40SAC0269,ec396tfc,30316,Fulton,"885 Glenwood Avenue Southeast, Atlanta, GA 30316",33.73867,-84.35887
Mix 40JNC0457,ec3xt21f,30324,Fulton,"Armour Drive Northeast, Atlanta, GA 30324",33.81058,-84.38147
"NexStep , Nylon 6 styles of modular carpet 441 g/m2",ec34r71s,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
"NexStep , Nylon 6 styles of modular carpet 610 g/m2",ec3n0cmm,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
"NexStep , Nylon 6 styles of modular carpet 678 g/m2",ec34czjg,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
"NexStep , Nylon 6 styles of modular carpet 1.32E+03 g/m2",ec33zb2e,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
"NexStep , Nylon 6 styles of modular carpet 1.39E+03 g/m2",ec35ws33,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
"FLOR® modular carpet on GlasBac, Nylon 66 styles 21 oz/sy",ec3hj2w6,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
"FLOR® modular carpet on GlasBac, Nylon 66 styles 32 oz / sy",ec3f8n89,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
"FLOR® modular carpet on GlasBac, Nylon 66 styles 33 oz / sy",ec34j9ys,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
